id,official_name,alias_name,total_leaf_node
18007,กรมฝนหลวงและการบินเกษตร,,10
18008,กรมพัฒนาที่ดิน,,110
18009,กรมวิชาการเกษตร,,119
18010,กรมส่งเสริมการเกษตร,,137
18011,กรมส่งเสริมสหกรณ์,,167
18012,กรมหม่อนไหม,,31
18013,การยางแห่งประเทศไทย,,26
18014,สถาบันวิจัยและพัฒนาพื้นที่สูง (องค์การมหาชน),,7
18015,สภาเกษตรกรจังหวัด,,1
18016,สำนักงานกองทุนฟื้นฟูและพัฒนาเกษตรกร,,3
18017,สำนักงานการปฏิรูปที่ดินเพื่อเกษตรกรรม,,77
18018,สำนักงานปฏิรูปที่ดินเพื่อเกษตรกรรม,,25
18019,สำนักงานปลัดกระทรวงเกษตรและสหกรณ์,,100
18020,สำนักงานพัฒนาการวิจัยการเกษตร (องค์การมหาชน),,8
18021,สำนักงานพิพิธภัณฑ์เกษตรเฉลิมพระเกียรติพระบาทสมเด็จพระเจ้าอยู่หัว (องค์การมหาชน),,6
18022,สำนักงานมาตรฐานสินค้าเกษตรและอาหารแห่งชาติ,,12
18023,สำนักงานสภาเกษตรกรแห่งชาติ,,3
18024,สำนักงานเศรษฐกิจการเกษตร,,23
18025,องค์การตลาดเพื่อเกษตรกร,,67
18026,องค์การสะพานปลา,,41
18027,องค์การส่งเสริมกิจการโคนมแห่งประเทศไทย,,1
19001,กรมการจัดหางาน,,90
19002,กรมพัฒนาฝีมือแรงงาน,,99
19003,กรมสวัสดิการและคุ้มครองแรงงาน,,90
19004,สถาบันส่งเสริมความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน (องค์การมหาชน),,9
19005,สำนักงานประกันสังคม,,114
19006,สำนักงานปลัดกระทรวงแรงงาน,,90
20001,กองทุนการออมแห่งชาติ,,2
20002,กองทุนจัดรูปที่ดินเพื่อพัฒนาพื้นที่,,1
20003,กองทุนฟื้นฟูและพัฒนาเกษตรกร,,1
20004,กองทุนยุติธรรม,,1
20005,กองทุนสนับสนุนการวิจัย,,1
20006,กองทุนหมู่บ้านและชุมชนเมืองแห่งชาติ,,1
